name,score,release_date,region,platform,genres,themes,publishers
revenant,7.0,1999,Japan,PC,role-playing,,
shadow company: left for dead,6.2,1999,North America,PC,strategy,,ubisoft
homeworld,9.0,1999,North America,PC,strategy,sci-fi,
homeworld,9.0,1999,Europe,PC,strategy,sci-fi,
rayman forever,6.9,1999,North America,PC,platformer,,ubisoft
total annihilation: kingdoms,6.6,1999,North America,PC,strategy,fantasy,
total annihilation: kingdoms,6.6,1999,Europe,PC,strategy,fantasy,
might and magic vii: for blood and honor,8.4,1999,North America,PC,role-playing,,
might and magic vii: for blood and honor,8.4,1999,Europe,PC,role-playing,,
f-16 aggressor,6.5,1999,North America,PC,simulation,military,
f-16 aggressor,6.5,1999,Europe,PC,simulation,military,
magic & mayhem,6.4,1999,North America,PC,strategy,,
jack nicklaus 6: golden bear challenge,9.1,1999,North America,PC,sports,,activision
emergency room 2,6.8,1999,North America,PC,strategy,,
wargasm,7.3,1998,North America,PC,strategy,,
wargasm,7.3,1998,Europe,PC,strategy,,
redline racer,6.7,1998,North America,PC,simulation,,ubisoft
redline racer,6.7,1998,Japan,Dreamcast,simulation,,ubisoft
top gun: hornet's nest,3.8,1998,North America,PC,simulation,military,
magic: the gathering - spells of the ancients,8.0,1997,North America,PC,,,
magic: the gathering - spells of the ancients,8.0,1997,Europe,PC,,,
official formula 1 racing,6.8,1999,North America,PC,arcade,,
official formula 1 racing,6.8,1999,North America,PlayStation,arcade,,
official formula 1 racing,6.8,1999,South America,PC,arcade,,
battlezone ii: combat commander,6.6,1999,North America,PC,strategy,sci-fi,activision
battlezone ii: combat commander,6.6,1999,Europe,PC,strategy,sci-fi,activision
everquest,8.4,1999,North America,PC,role-playing,fantasy,ubisoft
everquest,8.4,1999,North America,Macintosh,role-playing,fantasy,ubisoft
everquest,8.4,1999,Asia,PC,role-playing,fantasy,ubisoft
worms armageddon,9.1,1999,North America,PC,strategy,fantasy,
worms armageddon,9.1,1999,Europe,PC,strategy,fantasy,
worms armageddon,9.1,1999,North America,Dreamcast,strategy,fantasy,
worms armageddon,9.1,1999,Europe,Dreamcast,strategy,fantasy,
worms armageddon,9.1,1999,North America,Nintendo 64,strategy,fantasy,
worms armageddon,9.1,1999,Europe,Nintendo 64,strategy,fantasy,
worms armageddon,9.1,1999,North America,PlayStation,strategy,fantasy,
worms armageddon,9.1,1999,Europe,PlayStation,strategy,fantasy,
worms armageddon,9.1,1999,North America,Game Boy Color,strategy,fantasy,
worms armageddon,9.1,1999,Europe,Game Boy Color,strategy,fantasy,
worms armageddon,9.1,1999,North America,Macintosh,strategy,fantasy,
sports car gt,3.8,1999,North America,PC,simulation,,electronic arts
sports car gt,3.8,1999,North America,PlayStation,simulation,,electronic arts
sports car gt,3.8,1999,Europe,PlayStation,simulation,,electronic arts
dungeon keeper 2,7.9,1999,North America,PC,strategy,fantasy,electronic arts
dungeon keeper 2,7.9,1999,Europe,PC,strategy,fantasy,electronic arts
dungeon keeper 2,7.9,1999,North America,PlayStation,strategy,fantasy,electronic arts
links extreme,5.6,1999,North America,PC,sports,,
need for speed: high stakes,8.7,1999,North America,PC,arcade,,electronic arts
need for speed: high stakes,8.7,1999,North America,PlayStation,arcade,,electronic arts
flight unlimited iii,9.1,1999,North America,PC,simulation,,electronic arts
flight unlimited iii,9.1,1999,Europe,PC,simulation,,electronic arts
madden nfl 2000,7.4,1999,North America,PC,sports,,thq
madden nfl 2000,7.4,1999,North America,Game Boy Color,sports,,thq
madden nfl 2000,7.4,1999,Europe,Game Boy Color,sports,,thq
madden nfl 2000,7.4,1999,North America,Nintendo 64,sports,,thq
madden nfl 2000,7.4,1999,North America,PlayStation,sports,,thq
madden nfl 2000,7.4,1999,Europe,PlayStation,sports,,thq
madden nfl 2000,7.4,1999,North America,Macintosh,sports,,thq
nhl 2000,9.0,1999,North America,PC,sports,,thq
nhl 2000,9.0,1999,Europe,PC,sports,,thq
nhl 2000,9.0,1999,North America,Game Boy Color,sports,,thq
nhl 2000,9.0,1999,Europe,Game Boy Color,sports,,thq
nhl 2000,9.0,1999,North America,PlayStation,sports,,thq
nhl 2000,9.0,1999,Europe,PlayStation,sports,,thq
missile command,4.0,1999,North America,PC,shooter,,
missile command,4.0,1999,Europe,PC,shooter,,
missile command,4.0,1999,North America,PlayStation,shooter,,
missile command,4.0,1999,Europe,PlayStation,shooter,,
missile command,4.0,1999,North America,Game Boy Color,shooter,,
missile command,4.0,1999,Europe,Game Boy Color,shooter,,
missile command,4.0,1999,Europe,Atari ST,shooter,,
missile command,4.0,1999,Europe,Commodore 64,shooter,,
missile command,4.0,1999,North America,Commodore 64,shooter,,
missile command,4.0,1999,North America,Arcade Games,shooter,,
missile command,4.0,1999,North America,Atari 2600,shooter,,
missile command,4.0,1999,Japan,Atari 2600,shooter,,
missile command,4.0,1999,North America,Atari 5200,shooter,,
missile command,4.0,1999,North America,Atari 8-bit,shooter,,
missile command,4.0,1999,North America,Xbox 360,shooter,,
missile command,4.0,1999,Europe,Xbox 360,shooter,,
missile command,4.0,1999,North America,iOS (iPhone/iPad),shooter,,
missile command,4.0,1999,Australia,Atari 2600,shooter,,
missile command,4.0,1999,North America,Game Boy,shooter,,
